rule_name,link_number,link,rulebook_page,rule_description
Overview of the Game,0,https://tow.whfb.app/overview-of-the-game,"Rulebook, p. 91",This summarises the sequence you will follow when playing a game of Warhammer: the Old World and points you to the relevant parts of the book that explain how each stage works.Muster Your Forces!Choose ScenarioSet Up The BattlefieldDeploy ArmiesTo Battle!Aftermath
Muster Your Forces!,1,https://tow.whfb.app/overview-of-the-game/muster-your-forces,"Rulebook, p. 91","To play a game of Warhammer: the Old World, each player will need an army to command, so the first thing to do is assemble your forces. You can simply use all the models in your collection, but most players use points values and army lists to ensure their forces are evenly matched for a closely fought battle. This system is explained in the Warhammer Armies."
Choose Scenario,2,https://tow.whfb.app/overview-of-the-game/choose-scenario,"Rulebook, p. 91","The Warhammer Battles section presents six pitched battles. Each of these explains how to play a slightly different type of battle, ranging from a straightforward clash of forces to a fight in a mountain pass or the defence of a watchtower. Players can roll a dice to decide which pitched battle they will play or simply choose one."
Set up the Battlefield,3,https://tow.whfb.app/overview-of-the-game/set-up-the-battlefield,"Rulebook, p. 91","Next, you will need a battlefield, which can be set up on any flat surface, be it the kitchen table, the floor or a dedicated wargames table. The players set up terrain for their armies to fight over, representing woods, fortified watchtowers and other features that make up the landscape of the Warhammer world. How to do this is covered in the Warhammer Battles section."
Deploy Armies,4,https://tow.whfb.app/overview-of-the-game/deploy-armies,"Rulebook, p. 91","The rival armies are deployed facing each other across the battlefield, ready to fight. Details of how to deploy can be found in the Warhammer Battles section. Each of the pitched battle scenarios includes a map showing where on the battlefield each player can place their models, and tells which side will take the first turn of the game."
To Battle!,5,https://tow.whfb.app/overview-of-the-game/to-battle,"Rulebook, p. 91","The players fight out the battle, each taking turns in which their army will move, shoot, wield mighty magic and fight vicious combat. All of this is done using the rules that follow. These rules start with basic rules that apply to all models and cover the standard sequence of moving, shooting, fighting and more. Each pitched battle also explains how many rounds to play before the game ends."
Aftermath,6,https://tow.whfb.app/overview-of-the-game/aftermath,"Rulebook, p. 91","In the aftermath of the battle, the players must work out which side stands victorious. Each pitched battle explains how to work out who has won the game. In most cases, the victor is the side that has destroyed more of the enemy and so it is often obvious who has won, as the enemy army lies in tatters – dead or fleeing! Other battles are decided by claiming objectives, such as seizing enemy banners or capturing a watchtower. Whatever the outcome, only a rematch will give you the chance for further glory or sweet revenge."
General Principles,7,https://tow.whfb.app/general-principles,"Rulebook, p. 92","Before going further, it is worth establishing some general principles regarding some commonly used terms, conventions, dice and other accessories, and the game of Warhammer in general."
Take-backs & Changing One's Mind,8,https://tow.whfb.app/general-principles/take-backs-and-changing-ones-mind,"Rulebook, p. 92","It is not uncommon for players of any game to occasionally second guess themselves, saying they are about to do something before immediately changing their mind. Players should be tolerant of this in their opponents, as they will likely do it themselves.However, once dice have been rolled for any reason, or a move committed to and made, players must abide by their decision; they can no longer go back and change anything that came before the dice roll or the act of moving!"
Moving Through Units,9,https://tow.whfb.app/general-principles/moving-through-units,"Rulebook, p. 92","As a general rule, no unit can move through another unit, though there are exceptions. For example, a fleeing unit may be obliged to move through another unit.Alternatively, the corner of a unit may have no choice but to move through another unit during a manoeuvre. In such cases, it is acceptable for one unit to pass through another and the rules will make allowance for this."
Measurement (General Principles),10,https://tow.whfb.app/general-principles/measurement-general-principles,"Rulebook, p. 92","In games of Warhammer: the Old World, all distances are measured in inches (""), using a ruler or tape measure, and can be measured at any time. Distances between models and all other objects (which can be other models, terrain features and so on) are always measured from the closest point on one base to the closest point on the other base (see diagram below).For example, if any part of a model's base is within 6"" of the base of an enemy model, the two models are said to be within 6"" of each other.Sometimes, units will be mounted on movement trays for ease. Nevertheless, always use the model's base, and not the movement tray, as the reference point when taking your measurements.Fig 92.1 - The distance between two units is measured between the closest points. Therefore, the distance between unit A and unit B is 4"", and the distance between unit A and the Dragon (unit C) is 5""."
